id,created_at,username,message,user_id,unix_time_seconds,position
14942,2024-04-10 16:15:27.392551+00,tomas_gonzalez431,aqui no,4864189036,1712765718,"[-0.219945329911257,-0.384554745487692,0.330983413915454]"
14943,2024-04-10 16:15:29.888657+00,GREAT_BACONROBLOX,"i ",5659168566,1712765711,"[-0.0764765248489432,-0.384286912771836,-0.0291931644995222]"
14944,2024-04-10 16:15:29.888657+00,GREAT_BACONROBLOX,give up,5659168566,1712765718,"[-0.0764765248489432,-0.384286912771836,-0.0291931644995222]"
14945,2024-04-10 16:15:47.821403+00,DidiLovesNewJeans,"terminé ",5514583872,1712765740,"[-0.218910891146009,-0.384002774956328,0.331158047279005]"
14946,2024-04-10 16:15:50.344084+00,muncijapan1314,why,5307945523,1712765729,"[-0.0774769636233861,-0.384286912771836,-0.027871648647885]"
14947,2024-04-10 16:15:50.344084+00,Kile0345,sniff,1562937504,1712765739,"[-0.22128826130383,-0.383934121905163,0.329213931997836]"
14948,2024-04-10 16:15:50.344084+00,GREAT_BACONROBLOX,"your to strong ",5659168566,1712765742,"[-0.0765064086354948,-0.384286912771836,-0.0282573451967144]"
14949,2024-04-10 16:16:08.081715+00,tomas_gonzalez431,yo no espera,4864189036,1712765751,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14950,2024-04-10 16:16:28.566855+00,tomas_gonzalez431,estoy en 1.37,4864189036,1712765772,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14951,2024-04-10 16:16:28.566855+00,DidiLovesNewJeans,ok me los iré apnee,5514583872,1712765775,"[-0.220959539651762,-0.384002774956328,0.331507994837933]"
14952,2024-04-10 16:16:28.566855+00,tomas_gonzalez431,1.37K,4864189036,1712765786,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14953,2024-04-10 16:16:35.973192+00,muncijapan1314,kill the boss,5307945523,1712765793,"[-0.198437336573042,-0.383931289966803,-0.108665153035676]"
14954,2024-04-10 16:16:47.900598+00,malindapant,can u send it again,1936579148,1712765806,"[-0.064326057397559,-0.383776134071171,-0.0632199530617518]"
